id	filename	md5	size	state
ee04ea82-3604-4cdd-b2d8-9c8a3de9ba38	D4491.Solexa-178364.2.bam	21e90238c1fc651618b57a290d60e5c0	322760019093	live
65381caa-94d6-4a2f-8d1c-a80c6493c401	G31860.HCC1954.6.bam	6b4843033caf77b3995a19fcac440d0d	406467012699	live
b5cc3b41-ce83-478a-a8da-c59cf589077e	G15509.K-562.2.bam	83332243960c5320f0d66b206f3284c8	226333347850	live
a392a7cb-6edc-4076-93c5-fccb10b01819	G31860.HCC1143.1.bam	b6711842dc3afd1dab8f5004c48f6561	385484044509	live
d41a889a-5eaa-49fd-b92c-68a0b9f07c87	G15511.HCC1143.2.bam	e2082f22411cba59fef12eeaee23e8cd	493624207033	live
164ff095-e9b4-4a90-a428-abb28ed6406c	G31860.HCC1954BL.1.bam	9640aac323fde8502a2b51bb56f32825	487762365644	live
c02afaa1-33b0-48a2-98de-59d2f46c00be	G15511.HCC1143_BL.2.bam	e9a40e61116baaef287cd9a80304d552	516518531745	live
ff1030e6-4ad9-41c7-889a-0ae8ba906861	G31860.HCC1143BL.1.bam	cbc7f172b660a66cda9e25a07c893649	421786300142	live
530be734-e2e3-41a3-a2ed-95cbd175b4e8	D4491.Solexa-178366.3.bam	c8419f3f182f594435110f0cab0f3bc3	250692783935	live
e577fba2-38d7-4ab0-9eaa-0c1977aeb945	D4491.Solexa-178367.2.bam	4d2726f17d3a0e218c8464b05a5dda36	463004669985	live
ad593308-dbbb-4017-9ce1-411965c9d774	D4491.Solexa-178365.2.bam	70586964e4df6a4d07996577a78290eb	340576227411	live
bd97b46a-ed67-49ed-b06e-1144c5935825	G15512.HCC1954.5.bam	28d7f998c7d1a91be634e6831a1bcb85	558055062336	live
